Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
8.586374521255493	10	-998.6580801177257	0.6116940645802208	-997.117501990025	-999.3001026508953	160000
11.542627096176147	20	-896.7235785794351	39.453927647068085	-792.2628609009031	-968.7209698665486	320000
14.473211765289307	30	-91.8236890426721	62.39627552385663	13.630159059260153	-257.4893469542986	480000
17.701542139053345	40	32.2234659628574	67.21904997516019	135.66833107610555	-141.53053802391847	640000
20.755094289779663	50	65.65657300120232	47.4051010436377	157.89876517936315	-155.01107203267938	800000
23.743714332580566	60	70.0812216157304	45.99863521135994	183.32630968924988	-45.53754611578	960000
26.837613105773926	70	87.97784055760918	29.443841962574332	134.97988459708196	-56.85545787735045	1120000
29.841585636138916	80	147.78891356338073	31.334823956163586	253.315386827183	67.24104953124254	1280000
32.93381953239441	90	149.04022448110555	21.80049268023144	208.3242041074071	90.94083158327967	1440000
35.94036841392517	100	164.38166035132173	35.291961357911596	261.88585523858745	79.47203961150738	1600000
38.94351887702942	110	171.12476016852696	31.453183796169455	318.2575266790417	85.12812602053695	1760000
41.96231722831726	120	172.1598612735749	34.76792170684221	295.12165428194595	90.87725397217659	1920000
44.996620416641235	130	169.40397362050683	25.772096791431736	264.909701975138	88.93293885229001	2080000
48.03097939491272	140	177.01284483720377	31.76642293156376	278.6264878067763	86.91546908091605	2240000
51.05081391334534	150	180.55893592622303	23.420628451432652	284.69930978603725	120.77981025098202	2400000
54.08699679374695	160	190.68625895843581	31.513758882920296	253.5239080263427	-0.38301138554791847	2560000
57.14967155456543	170	190.35975413049707	26.089608791657067	273.22723586332853	126.02702292910385	2720000
60.168455362319946	180	211.62020185045458	31.209947928803068	266.4980822675722	106.01323262517663	2880000
63.202728509902954	190	217.5951961095435	24.10310359155045	282.3156538432985	149.1825004243323	3040000
66.23617267608643	200	182.83261227574275	15.45216736050787	221.44189288905915	145.14854583272333	3200000
69.30698823928833	210	184.65302587912655	30.034849498975575	252.54727202762797	68.77268687373785	3360000
72.38296413421631	220	185.40493274954216	16.110112863630203	230.8667809215946	163.38488254554318	3520000
75.48090839385986	230	212.00934959985875	21.014358794607578	286.6225688756941	163.73261930172094	3680000
78.56211709976196	240	179.00700818372457	5.611345573513983	194.23770360558063	162.76396969507817	3840000
81.62232375144958	250	208.23021791560066	21.671494881093178	271.3727481378305	119.05877645836226	4000000
84.69893050193787	260	216.38966808988974	26.913668036557198	304.2446357705366	125.98468714098122	4160000
87.7936007976532	270	211.50091559461535	18.688667973557365	265.01114028287066	160.37386974217313	4320000
90.85460019111633	280	206.9369429629218	15.13178289182823	260.96690257533544	189.32730590904285	4480000
93.90355610847473	290	204.6006883799713	82.68119467645977	273.61692701741475	-522.4147612269084	4640000
96.97024321556091	300	193.3243264578442	16.643711938125662	270.07972977432826	170.86544437948194	4800000
100.0191867351532	310	210.44631459394208	29.65373849137923	295.9355929728495	117.51507485131847	4960000
103.10041666030884	320	214.09538555712493	17.339086927897643	263.24611469179865	193.4861749217913	5120000
106.1816930770874	330	233.50764930081877	18.15113476924551	287.7087891244434	204.71446680838352	5280000
109.26295065879822	340	226.1873806209974	15.64940949150274	292.9666919977017	192.76815166638107	5440000
112.35973596572876	350	197.82784514911734	21.034322760336046	291.8919090173043	167.76761567934858	5600000
115.42537927627563	360	220.44860189612973	19.316626062837738	270.5738445396057	186.68505969410737	5760000
118.50659847259521	370	231.03692384447498	23.66203104940698	294.8531650311406	162.24610814685514	5920000
121.56531262397766	380	196.17605686859963	105.32389805379823	290.5556646323298	-783.7436097802445	6080000
125.20030522346497	390	234.1046898819135	27.238704369460933	303.0675746966318	128.62835830002427	6240000
128.28158330917358	400	280.2425313593053	21.214656577683268	325.4793711958207	235.64325758421364	6400000
131.36178517341614	410	264.8102341524654	16.095811599016617	322.50429506785076	243.03532890588255	6560000
134.44827246665955	420	242.38823696474208	13.193317580934789	288.47348579517995	215.50324908928823	6720000
137.60225868225098	430	251.94265223520028	17.22519596443356	291.5916985030429	213.8557988864606	6880000
140.69909715652466	440	246.4030686335643	14.144193621779388	301.50409998133443	212.51536040505817	7040000
143.78042674064636	450	251.99312112344157	13.86894959490211	314.9789313320484	219.3444249137882	7200000
146.86161351203918	460	247.41383644524888	13.914702551988537	297.48728365536215	227.8047224255579	7360000
149.94285345077515	470	268.0863902422278	17.476121547168876	305.1717512858964	227.3373797184359	7520000
153.00743341445923	480	290.1203972203892	16.946025237093806	340.46077223131704	260.9429483013404	7680000
156.11117434501648	490	250.59352554970303	11.952643543294009	298.7198865657418	224.74130453922712	7840000
159.2614724636078	500	298.60893395073737	18.259540714289294	352.3851997600217	255.2923839102224	8000000
162.67399144172668	510	262.1418941703748	18.210629699699183	304.3291453458211	235.00831469729977	8160000
165.76414155960083	520	261.4540570430758	17.53566337573865	301.10156815180085	236.46506740657708	8320000
168.89695239067078	530	299.8356873484444	15.158545884800551	343.11840558596754	265.15193575887895	8480000
172.04221153259277	540	295.36150497805676	22.507595051281854	346.75522667557766	253.51114250902555	8640000
175.15204572677612	550	279.10392902176716	13.785354913017677	329.19642083524633	255.46557020280616	8800000
178.2854037284851	560	295.8018255176154	28.172103684176825	368.0494687406079	230.33845462133613	8960000
181.39267349243164	570	261.01891843839655	21.88906633581107	369.32580442548027	231.04929306052324	9120000
184.49484491348267	580	295.1995485459402	17.712026057122923	338.6063174702319	261.04832627350777	9280000
187.64885902404785	590	250.2490842800396	17.926675445808417	311.4795901522362	198.0706057155391	9440000
